LATITUDE;LONGITUDE;SECTOR;value
54.587;-1.2765;Chemicals;0
50.74;3.01;Chemicals;0
51.6961;-3.8882;Chemicals;0
49.8756;8.6359;Chemicals;0
48.99;7.01;Chemicals;0
48.96;8.18;Chemicals;0
51.8957;4.2663;Chemicals;0
50.49;2.85;Chemicals;0
53.2474;-4.3073;Chemicals;0
54.9573;-1.5596;Chemicals;0
43.42;4.99;Chemicals;0
49.04;1.16;Chemicals;0
53.328;-2.7567;Chemicals;0
50.0362;8.2514;Chemicals;0
53.6378;-2.0998;Chemicals;0
50.3;2.81;Chemicals;0
50.0949;8.5395;Chemicals;0
50.0145;8.2344;Chemicals;0
51.4526;3.6911;Chemicals;0
51.6564;4.6075;Chemicals;0
49.48;0.57;Chemicals;0
54.6094;-1.5864;Chemicals;0
44.23;1.47;Chemicals;0
50.0927;8.5921;Chemicals;0
50.94;1.87;Chemicals;0
48.1829;12.7312;Chemicals;0
43.17;0.9698;Chemicals;0
51.07;5.1699;Chemicals;0
49.36;2.74;Chemicals;0
53.3206;6.9482;Chemicals;0
51.828;6.2692;Chemicals;0
47.5462;7.6637;Chemicals;0
49.5;0.53;Chemicals;0
43.65;6.93;Chemicals;0
53.3821;-2.9802;Chemicals;0
53.426;-1.9949;Chemicals;0
48.76;7.94;Chemicals;0
43.29;5.42;Chemicals;0
51.6814;7.0985;Chemicals;0
51.8216;9.4642;Chemicals;0
50.0885;8.5279;Chemicals;0
53.298;-2.108;Chemicals;0
51.6839;7.0966;Chemicals;0
52.297;5.1827;Chemicals;0
50.38;2.93;Chemicals;0
53.7903;-1.7313;Chemicals;0
52.4926;-2.0132;Chemicals;0
48.66;7.8;Chemicals;0
51.5007;0.162;Chemicals;0
51.0842;5.1465;Chemicals;0
48.18;2.24;Chemicals;0
50.55;4.217;Chemicals;0
50.1289;8.7614;Chemicals;0
52.4014;9.5836;Chemicals;0
51.6863;7.0882;Chemicals;0
53.6276;8.0714;Chemicals;0
50.0832;8.5297;Chemicals;0
52.9993;-2.1731;Chemicals;0
51;2.22;Chemicals;0
51.8071;4.6197;Chemicals;0
54.5936;-1.1178;Chemicals;0
50.5111;7.3147;Chemicals;0
47.58;7.58;Chemicals;0
43.65;6.93;Chemicals;0
51.2213;3.8017;Chemicals;0
51.2786;3.8502;Chemicals;0
54.5296;-3.5978;Chemicals;0
53.3173;-2.749;Chemicals;0
53.086;-1.3699;Chemicals;0
54.5857;-1.128;Chemicals;0
47.5494;7.6535;Chemicals;0
48.58;2.97;Chemicals;0
47.74;7.32;Chemicals;0
53.482;-2.0676;Chemicals;0
44.9;-0.52;Chemicals;0
47.79;7.17;Chemicals;0
51.2307;4.3376;Chemicals;0
50.633;3.766;Chemicals;0
51.0907;3.7297;Chemicals;0
50.0343;8.2488;Chemicals;0
51.2975;4.3153;Chemicals;0
51.2359;4.3688;Chemicals;0
53.1024;-3.0022;Chemicals;0
53.2986;6.9661;Chemicals;0
48.6699;9.0392;Chemicals;0
48.9;7.83;Chemicals;0
46.32;-0.46;Chemicals;0
54.0385;-2.9067;Chemicals;0
51.1515;4.377;Chemicals;0
55.676;11.1171;Chemicals;0
51.8889;4.2653;Chemicals;0
50.7971;4.3031;Chemicals;0
48.2802;1.6969;Chemicals;0
50.6589;14.0268;Chemicals;0
47.5694;7.8072;Chemicals;0
51.0642;-1.3556;Chemicals;0
54.5811;-1.1281;Chemicals;0
48.1835;12.8362;Chemicals;0
51.3582;4.254;Chemicals;0
53.7269;-1.3634;Chemicals;0
48.98;2.45;Chemicals;0
47.19;-1.67;Chemicals;0
48.97;1.76;Chemicals;0
49.9958;8.0255;Chemicals;0
50.0971;8.5341;Chemicals;0
53.532;8.548;Chemicals;0
51.5937;6.9706;Chemicals;0
51.8193;4.7284;Chemicals;0
51.1577;6.0637;Chemicals;0
48.96;8.18;Chemicals;0
51.6525;-0.0268;Chemicals;0
53.3138;-2.7324;Chemicals;0
53.2681;-2.5322;Chemicals;0
49.6196;8.44;Chemicals;0
53.4402;-1.3632;Chemicals;0
54.5982;-1.5858;Chemicals;0
53.0904;-1.3543;Chemicals;0
51.1677;5.9579;Chemicals;0
48.1815;12.7323;Chemicals;0
48.1809;12.8475;Chemicals;0
43.45;4.9;Chemicals;0
48.7578;11.7013;Chemicals;0
53.2737;-2.1184;Chemicals;0
52.2;20.2167;Chemicals;0
53.3762;-2.6995;Chemicals;0
53.2797;-2.8593;Chemicals;0
45.39;4.77;Chemicals;0
51.8026;11.7564;Chemicals;0
49.526;8.4431;Chemicals;0
50.8813;5.7182;Chemicals;0
51.6851;4.5668;Chemicals;0
52.75;18.1;Chemicals;0
48.2076;12.4109;Chemicals;0
51.4661;-3.1905;Chemicals;0
54.5947;-1.2708;Chemicals;0
51.6498;12.2887;Chemicals;0
51.8044;11.753;Chemicals;0
48.1483;12.6249;Chemicals;0
53.3797;-1.9687;Chemicals;0
51.4665;7.0329;Chemicals;0
48.89;5.58;Chemicals;0
53.2818;-6.3757;Chemicals;0
47.5611;7.7952;Chemicals;0
53.4109;10.3645;Chemicals;0
51.1833;4.4452;Chemicals;0
51.4736;6.6462;Chemicals;0
48.2305;10.0964;Chemicals;0
53.5814;-0.1028;Chemicals;0
50.0923;8.5364;Chemicals;0
50.1314;8.9263;Chemicals;0
54.5245;-1.3764;Chemicals;0
51.8786;4.2808;Chemicals;0
51.7821;5.5513;Chemicals;0
50.0337;8.2538;Chemicals;0
52.4763;4.6187;Chemicals;0
45.12;5.7;Chemicals;0
54.6093;-1.2001;Chemicals;0
46.16;-1.17;Chemicals;0
51.5133;4.2565;Chemicals;0
53.5843;-0.1167;Chemicals;0
49.0045;9.1357;Chemicals;0
52.9779;-3.0791;Chemicals;0
51.8822;12.2068;Chemicals;0
55.8568;12.0563;Chemicals;0
54.9567;-1.6611;Chemicals;0
54.5947;-1.273;Chemicals;0
51.5262;6.8033;Chemicals;0
53.0333;18.6667;Chemicals;0
54.7746;11.4843;Chemicals;0
50.7705;5.7148;Chemicals;0
48.0183;12.5539;Chemicals;0
48.1831;12.7301;Chemicals;0
