SECTOR;value;LATITUDE;LONGITUDE
Cement;0.27902;26.4826;99.6193
Cement;0.27902;27.0589;101.4508
Cement;0.27902;24.4849;100.1527
Cement;0.11251;25.0885;104.119
Cement;0.045;25.4797;104.5242
Cement;0.09001;23.6117;103.6322
Cement;0.35102;23.6673;103.6134
Cement;0.054;25.8312;104.3473
Cement;0.70205;26.9337;100.3012
Cement;0.54003;22.7868;100.9769
Cement;0.27902;28.5984;103.9584
Cement;0.45003;30.7639;120.7092
Cement;0.35102;31.0266;119.9101
Cement;0.70205;30.118;120.2849
Cement;0.70205;29.7932;119.6915
Cement;0.70205;30.2756;120.4515
Cement;0.35102;30.1465;120.4948
Cement;0.45003;30.9213;120.0716
Cement;0.70205;30.9515;119.9822
Cement;0.49053;31.1071;119.743
Cement;0.70205;31.0266;119.9101
Cement;1.40409;31.01;119.9382
Cement;0.21151;30.8637;120.104
Cement;0.70205;30.8831;120.8645
Cement;0.49053;30.6773;120.6185
Cement;0.49053;30.6307;120.5643
Cement;0.70205;29.2554;119.2925
Cement;1.05307;28.7373;118.6269
Cement;0.56254;28.9014;118.5112
Cement;1.40409;28.9014;118.5112
Cement;10.05365;28.9014;118.5112
Cement;0.42303;29.4748;119.2812
Cement;0.70205;29.7932;119.6915
Cement;1.40409;29.4748;119.2812
Cement;0.27902;30.6382;119.6822
Cement;1.5751;28.7372;118.6269
Cement;0.63004;28.9014;118.5112
Cement;0.70205;29.0862;119.5715
Cement;0.27902;29.2084;119.4605
Cement;0.90006;30.0698;121.2621
Cement;0.56254;30.1908;120.4191
Cement;0.35102;29.8359;120.1691
Cement;1.40409;30.5617;119.512
Cement;0.35102;31.0279;119.9057
Cement;0.35102;30.58;120.1913
Cement;0.27902;30.465;120.9055
Cement;0.27902;30.7253;122.457
Cement;2.25015;28.6826;118.5514
Cement;0.56254;28.0775;119.1589
Cement;0.21151;30.5432;119.9748
Cement;0.70205;30.2384;120.3868
Cement;0.27902;29.2278;119.4759
Cement;0.54003;30.1322;121.1587
Cement;0.40503;30.2454;120.0537
Cement;0.42303;29.9867;119.6834
Cement;0.67504;30.6088;120.8212
Cement;0.21151;30.2301;119.829
Cement;0.27902;29.1443;119.5534
Cement;0.13951;29.7162;120.2312
Cement;0.70205;30.5239;120.4189
Cement;0.22501;30.941;119.9881
Cement;0.35102;30.9066;120.8377
Cement;0.99006;30.58;120.1913
Cement;0.315;30.5359;117.1048
Cement;0.702;32.2546;118.328
Cement;1.053;31.3536;118.4277
Cement;2.808;31.3536;118.4277
Cement;2.808;31.3536;118.4277
Cement;1.404;30.9413;118.754
Cement;4.923;30.6354;118.9867
Cement;10.265;30.9346;117.8089
Cement;1.404;30.5359;117.1048
